Response ID,Country,City,Region,Home ZIP,Work ZIP,Are you a resident of a nearby neighborhood?,Do you own a business on Telegraph?,Do you work on or near Telegraph?,"Do you visit the stores, restaurants and bars, or use the services on Telegraph Avenue?",Do you commute via Telegraph Avenue?,How often do you visit or pass through Telegraph Avenue?,ModeRank1,ModeRank2,ModeRank3,ModeRank4,ModeRank5,ModeRank6,ModeRankNR,Rank of driving among modes of transport 1,Rank of AC Transit among modes of transport 1,Rank of BART among modes of transport 1,Rank of bicycle  among modes of transport 1,Rank of walking  among modes of transport 1,"Rank of ""other""  among modes of transport 1",What do you like best about Telegraph Avenue?,What do you wish were different about Telegraph Avenue?,Tgraph is good for pedestrians,Tgraph is good for bicyclists,Tgraph is good for motorists,Tgraph is good for transit riders,Do you feel that the existing configuration adequately balances the needs of all users (pedestrians/cyclists/motorists/transit riders)?,ImprRank1,ImprRank2,ImproRank3,ImprRank4,ImprRankNR,Rank driving should have in planned improvements 1,Rank public transit should have in planned improvements 1,Rank bicycling should have in planned improvements 1,Rank walking should have in planned improvements 1,Ideas to help motorists,Ideas to help transit riders,Ideas to help bicyclists,Ideas to help pedestrians,Comments on the draft vision statement,"What streets in Oakland, the Bay Area, or anywhere in the world do you wish Telegraph Avenue more closely resembled? What about those streets do you like? What aspects of those streets would you most like to see on Telegraph Avenue?",Is there anything we missed? Please share any additional comments you have about Telegraph Avenue.
522,United States,Corning,NY,94610,94587,No/blank,No/blank,No/blank,Yes,No/blank,A few times per month,ACT,BART,Other,Biking,Walking,Driving,,6,1,2,4,5,3,The people and the shops.,Better parking and less congestion.,Disagree,Disagree,No Opinion,Agree,No,Walking,Biking,Transit,Driving,,4,3,2,1,Better coordinated lights,More exits,"Bigger lanes, more lanes","Bigger sidewalks, coordinated lights",,,
523,United States,Oakland,CA,94608,,Yes,No/blank,No/blank,No/blank,No/blank,Daily,BikingWalking,,ACT,BART,,,DrivingOther,,3,4,1,1,,Its my neighborhood and its beginning to feel safe and develop with evening destinations and a clean art centric look!,A bike lane! Its a major direct route from downtown Oakland to Berkeley. The road has many potholes and is poorly lit. Inviting for accidents or crime!!!!,Disagree,Disagree,No Opinion,Disagree,No,BikingWalking,Transit,,Driving,,4,2,1,1,no opinion,ample seating at bus stops. and appropriate lighting.,bike lane please!!!!,better lighting. wider sidewalks. street plantings.,Make telegraph through temescal an art filled comfortable destination! Many people want to feel safe walking to restaurants and shops. Bicyclists use the road daily.,Median planters. Street trees. Potted planters. Murals. These make the vibrant neighborhood memorable and promote well being.,Can't wait for it to start!!!
524,United States,,,94618,94107,Yes,No/blank,No/blank,No/blank,No/blank,Daily,ACT,,Biking,Walking,BART,Driving,Other,6,1,5,3,4,,Timescal neighborhood,More attractive to be there then I would want to walk there more.,Strongly Disagree,Strongly Disagree,Agree,Agree,No,BikingWalking,Transit,Driving,,,3,2,1,1,"50th, congestion at light",,"All, safety and bicycle lanes",Sidewalk width could be wider to make it walkable,More pedestrian and bicycle friendly. Better crossing and light timing .,"Market street, SF Bike lanes and organized bus stops. Wider sidewalks. Need to get more businesses to go there, only way by making it more somewhere to walk and bike.",The design needs to be esthetically beautiful as well.
525,United States,Livermore,CA,94609,94550,Yes,No/blank,No/blank,No/blank,No/blank,Daily,,BikingWalking,Driving,BART,,ACTOther,,3,6,4,2,2,6,That there are people on the street out and about and new businesses are opening.,I wish there was less trash and fewer people doing drugs (particularly between Grand Ave and 26th St). I wish more of the vacant stores were occupied with businesses.,Agree,Disagree,Agree,No Opinion,No,Biking,Transit,Walking,Driving,,4,2,1,3,,The 1 and 1R could be more regular,Telegraph Ave in Temescal sucks for bikes. The road needs to be paved and a bike lane made available especially between 42nd and 51st streets,Better light under the 580 on Telegraph and improve the safety between 26th and Grand on the west side of Telegraph.,,14st St in Oakland has nice trees established on both sides. This would be nice for Telegraph too. Outdoor seating at bars/cafes would be great.,Clean up the crime and drug addicts on the west side of Telegraph between Grand Ave and 26th St.
526,United States,Oakland,CA,94609,,Yes,No/blank,No/blank,No/blank,No/blank,A few times per week,Driving,Walking,ACT,BART,,Biking,Other,1,3,4,6,2,,,,,,,,,Walking,,,,DrivingTransitBiking,,,,1,,,,,,,
527,United States,Emeryville,CA,94609,retired,Yes,No/blank,No/blank,Yes,No/blank,A few times per week,Walking,,,Driving,,ACTBARTBikingOther,,4,6,6,6,1,6,The businesses are great. There's a feeling of community.,I wish there was a larger food store.,Agree,Strongly Disagree,No Opinion,Agree,No,Biking,,,,DrivingTransitWalking,,,1,,availabilty of parking,inadequate size of bus stops,presence of bike lanes,ease of crossing,I agree with this mission statement.,"Peidment Avenue: Slower traffic, more pedestrian crossings, compactness of  commercial buildings, sense of ""closeness""",Telegraph Ave. suffers from being a major thoroughfare and a neighborhood business district. Don't know how you change the traffic given the importance of the Ave for traffic.
528,United States,Oakland,CA,94618,94612,Yes,No/blank,Yes,Yes,Yes,Daily,Driving,Walking,,,Biking,ACTBART,Other,1,6,6,5,2,,"Exciting new businesses, traffic is never too bad when driving (except near UC Berkeley)","Dangerous intersections and poorly timed stoplights, lack of sidewalks in some areas, congestion near Berkeley, empty buildings with surroundings that are dark at night.",Disagree,Disagree,Agree,No Opinion,No,Walking,Biking,Driving,Transit,,3,4,2,1,Left-turn light on 51st/Telegraph is very problematic. Lasts too long on one side and ridiculously short on the other. Always traffic jams in the intersection.,,Cyclists tend to ride in middle of street due to inadequate bike lanes. Not good.,"Some parts of Telegraph do not feel safe to walk on. Need better lighting, better sidewalks",,Nearby College Avenue is much more bicycle- and pedestrian-friendly. I also like parts of Market Street in SF minus the congestion -- Telegraph is a similar kind of thoroughfare,
529,United States,Oakland,CA,94609,94609,Yes,No/blank,Yes,Yes,Yes,Daily,Walking,ACT,Driving,,,,BARTBikingOther,3,2,,,1,,,"More reliable public transportation, the AC transit line 1 iften has a 1 hour or more wait during the weekends ad at night.  Better lighting.  More mid level non fast food restaurants and stores",Agree,Disagree,Disagree,Disagree,No,Transit,Walking,Driving,Biking,,3,1,4,2,,"50th street bus stop- the service is unreliable, and not frequent. Would love more regular service, and more lines",,"Better lighting, better cross walks (more noticeable to drivers)",,,
530,United States,Berkeley,CA,94612,94720,Yes,No/blank,Yes,Yes,Yes,Daily,,ACT,Walking,BART,,Biking,DrivingOther,,2,4,6,3,,The great shops and businesses,"It is dangerous on a bike. The bike lanes are often blocked by construction, cars, buses, etc. and are not clearly defined. And many of the people driving are not paying attention and are driving too fast.",Agree,Strongly Disagree,No Opinion,Agree,No,Driving,Transit,Walking,Biking,,1,2,4,3,,,Bike lanes with more clearly defined (painted green) on the entirety of the corridor.,,,"I would like to see them model the streets in Copenhagen, Denmark. They are open, safe for bikes, etc.",
531,United States,Oakland,CA,94612,94612,Yes,No/blank,Yes,Yes,Yes,Daily,Walking,Biking,BART,Driving,,ACT,Other,4,6,3,2,1,,,,Agree,Disagree,Agree,Agree,No,,Driving,TransitBikingWalking,,,2,3,3,3,,,,,,,
532,United States,Oakland,CA,94608,94612,Yes,No/blank,No/blank,Yes,Yes,A few times per week,Walking,ACT,BART,,Driving,BikingOther,,5,2,3,6,1,6,The diversity of businesses on the street. It's also a great way to walk three miles to work in the morning--I feel very safe the whole way (55th to 22nd).,,Strongly Agree,No Opinion,No Opinion,No Opinion,No,BikingWalking,Transit,Driving,,,3,2,1,1,,,,,,Valencia Street in San Francisco. It's well-lit and well-populated enough to feel safe--even alone--for many consecutive blocks at all hours of the night.,
533,United States,Oakland,CA,94618,94609,No/blank,Yes,No/blank,No/blank,No/blank,A few times per week,Driving,,,,Walking,,ACTBARTBikingOther,1,,,,5,,The bank and Post Office and the restaurants,The addition of a walking police officer,Agree,No Opinion,Agree,Agree,Yes,,,,,DrivingTransitBikingWalking,,,,,More traffic signals from 40th to Berkeley border,,,Better lighting more traffic signals from 40th to the Berkeley border.,"As stated before, more traffic signals would make it easier to cross Telegraph on foot.",,
534,United States,,FL,94612,94102,Yes,No/blank,No/blank,Yes,Yes,Daily,BART,DrivingACTWalking,Biking,,,,Other,2,2,1,3,2,,The diversity.  Close to Bart.  Like the arts scene popping up,Get rid of the drug dealers and addicts on 24 25 and sycomore,Disagree,Agree,Agree,Disagree,No,TransitBikingWalking,Driving,,,,2,1,1,1,Residential permit parking,Like it,Safer bike lanes,Get rid of the drug dealers and addicts that harrass the residents,,I like what telegraph is turning into organically. The city can make the streets safe.  Encourage art maybe a farmers market in the 20s  No cookie cutter gentrification,
535,United States,Chowchilla,CA,94611,94612,Yes,No/blank,Yes,Yes,No/blank,A few times per week,Biking,Walking,ACT,BART,Driving,,Other,5,3,4,1,2,,Which part? This is a very broad question.,,Agree,Disagree,No Opinion,Agree,No,Biking,Walking,Transit,Driving,,4,3,1,2,,,"the pavement is irregular, lanes are narrow, motorists drive fast",,,"Broadway trough uptown. Bicycle lane, feels safer.",
536,United States,Oakland,CA,94618,,No/blank,No/blank,No/blank,No/blank,No/blank,,,ACT,Driving,BARTWalking,Biking,,Other,3,2,4,5,4,,"Diversity! of people, restaurants, shops, businesses. It's a long street with a lot going on.","Riding one's bike feels like Russian Roulette --I will eventually get hit if I choose it as a route. Parking can be difficult, i wish there were more public lots. Public urination and homelessness is an ongoing issue.",Agree,Strongly Disagree,Agree,Agree,No,Driving,Walking,Transit,Biking,,1,3,4,2,"parking everywhere, but especially between 40th and 51st and near UC campus.",need more reliable bus service.,"would love separated bike lane, especially going toward downtown","would love wider sidewalks in business districts, temescal, near campus, etc.",,"Valencia st in SF --they widened sidewalks and added local art, bike parking, parklets. Consider blocking off Telegraph between Dwight and Campus and making it a pedestrian street. And invite the food trucks!",
537,United States,Oakland,CA,94609,94105,Yes,No/blank,No/blank,Yes,Yes,Daily,ACT,,,DrivingBiking,BART,Walking,Other,4,1,5,4,6,,"Diversity of uses, convenience for any mode of travel","discomfort along certain stretches due to lighting, trash, speed of traffic",Disagree,Disagree,Agree,No Opinion,No,,Driving,BikingWalking,Transit,,2,4,3,3,Telegraph/Claremont: short intersection spacing causes congestion due to drivers using 52nd to connect to 51st.,,Creating a better northbound transition from Telegraph to Shattuck.,,"To the extent land use and street frontages are within the scope of the study, they should be incorporated in to the vision statement. Much of the perceived pedestrian problems are related to the different types of building frontages.",Shattuck in North Berkeley,"Street activity and mode of travel vary substantially along the length of Telegraph. I think the best approach would be to look at it in segments and come up with design interventions based on each neighborhood's issues. For example, street furniture in KoNo is a bad idea, but improving bicycle infrastructure/paving would be applauded."
538,United States,Oakland,CA,94618,,Yes,No/blank,No/blank,No/blank,No/blank,A few times per week,DrivingWalking,BART,,,,ACTBiking,Other,1,6,2,6,1,,Lot's of different eclectic stores and restaurants,better parking,Agree,No Opinion,Agree,Agree,Yes,,,,,DrivingTransitBikingWalking,,,,,"availability of parking, 40-55, getting congested at traffic signals (i.e. 52 and telegraph)",,conflict with cars,,looks good,"college, solano ave",
539,United States,Oakland,CA,94618,94105,Yes,No/blank,No/blank,No/blank,No/blank,A few times per week,Walking,Driving,BARTBiking,,,ACTOther,,2,6,3,3,1,6,The shops and restaurants,How backed up it gets when I'm driving home.  The lights are poorly timed and when someone is trying to park it's more difficult to navigate than other busy streets.,Disagree,Strongly Disagree,Disagree,No Opinion,No,DrivingWalking,Biking,,Transit,,1,4,2,1,The area between 45th St and 51st is difficult to navigate.  The lights at Claremont and also 55th Sts are poorly timed.,,I wouldn't ride my bike on Telegraph.  I don't think that it's safe.,The cross walks should be better marked and lit.,,Valencia Street in San Francisco and possibly College in Rockridge.,
540,United States,Emeryville,CA,94618,94618,Yes,No/blank,No/blank,Yes,No/blank,A few times per week,BARTWalking,Biking,Driving,,,,ACTOther,3,,1,2,1,,"small independent stores people sitting outside, cafes, good restaurants shopping in Temescal Alley and sitting in their attractive outdoor seating","more public seating ambassadors, to provide a friendly presence, maintaiin trash and cleanliness,  sense of safety to public",Disagree,Disagree,Strongly Agree,Agree,No,Walking,Biking,Transit,Driving,,4,3,2,1,,,uninterrupted marked cycling lane,on Telegraph and Temescal Alley there is a crosswalk which could benefit from blinking pedestrian activated crosswalk lights,,"Noe Valley, SF","clothing stores, more desired"
541,United States,Newark,CA,94609,94618,Yes,No/blank,No/blank,No/blank,No/blank,A few times per week,BikingWalking,,DrivingBART,,,,ACTOther,3,,3,1,1,,,,Disagree,Strongly Disagree,Agree,,No,BikingWalking,,,,DrivingTransit,,,1,1,,,,,,,
542,United States,Oakland,CA,94609,94720,Yes,No/blank,No/blank,No/blank,No/blank,Daily,Walking,Biking,ACT,Driving,BART,Other,,4,3,5,2,1,6,Variety of business in close proximity to my home/ walk ability,,Agree,Agree,Agree,Agree,Yes,,,,,DrivingTransitBikingWalking,,,,,51st and telegraph can definitely get congested. Parking can be difficult but not unreasonable.,"Reliability of service could definitely be improved, though I know the 1 is one of the more reliable routes",The left turn onto 49th can be a bit tough but otherwise good,Generally good,,,
543,United States,Oakland,CA,94610,94720,Yes,No/blank,Yes,Yes,Yes,A few times per week,Driving,BART,,,Walking,ACT,BikingOther,1,6,2,,5,,Relatively safe and quick alternative route to Berkeley via scooter.,"Remove timed light at 29th st. It's a waste to have to stop and wait at the light with nobody around! Also, better bike lanes in both directions would be great.",Disagree,Disagree,Agree,No Opinion,Yes,,,,,DrivingTransitBikingWalking,,,,,Remove timed ligh,,,,,,
544,United States,Oakland,CA,94609,94111,Yes,No/blank,No/blank,Yes,No/blank,A few times per week,BART,Driving,Walking,ACT,Biking,Other,,2,4,1,5,3,6,The area around 51st street and some of parts in the downtown area.,Improve the stretches with unused/underused buildings. Concerned about the area under Hwy 24 due to homeless people.,Agree,No Opinion,Agree,No Opinion,No,Biking,Transit,Walking,Driving,,4,2,1,3,,,,,,If it could be a little more like College Ave (but not too upscale) that would be great.,
545,United States,Citrus Heights,CA,94609,,Yes,No/blank,Yes,Yes,Yes,Daily,ACT,Walking,,,DrivingBART,Biking,Other,5,1,5,6,2,,"The restaurants, cafes and people out and about on the weekends.","That it was safer. I live off 49th and Telegraph and feel like that is the safer area of Telegraph, but it could be better. I'd love if one day I felt safe enough to walk from my neighborhood to downtown Oakland.",Disagree,Disagree,Agree,Agree,No,Walking,Driving,Transit,Biking,,2,3,4,1,,,,,,,
546,United States,San Francisco,CA,94612,94104,Yes,No/blank,No/blank,Yes,Yes,Daily,Biking,BART,Driving,Walking,ACT,Other,,3,5,2,1,4,6,"LOTS of culture. EVERYONE is welcome. I do not want anybody to ever have to move away from Telegraph Ave because the prices are going up. If there are people having problems, we should get them health care and training to help them have the life they want.",If wish there were public bathrooms for the poor. And more services for the poor. I wish the buses came by more often.,Agree,Agree,Strongly Agree,Agree,No,Biking,Walking,Transit,Driving,,4,3,1,2,Some streets have street cleaning signs that don't really need them. I think we should have a few more 'car free' streets.,"More frequent bus service all around. I LOVE the FREE B!! If that can be expanded, that would be great.",More bikelink lockers at BART stations.,"I think more crosswalks and pedestrian lighting on Northgate Avenue would be great. However, there is relatively very little car traffic there, so it doesn't need traffic lights for cars.","Any and all increases to public transportation, bike sharing, and innovations are welcome. Also infrastructure for electric cars. I read the ""I Bike Oakland"" newsletter sent by Jennifer Stanley at Public Works and I think their insights should be included in the planning if they aren't already.",I think Oakland is on the right path. I do think cities like Portland and Amsterdam are good cities to learn from. And China!! I've never been on city streets with more fellow cyclists than when I rode around in Kunming.,
547,United States,Oakland,CA,94607,94607,Yes,No/blank,No/blank,No/blank,No/blank,A few times per week,Biking,,,,,,DrivingACTBARTWalkingOther,,,,1,,,"Wide streets, not so busy.",better bike lanes,Strongly Disagree,Strongly Disagree,No Opinion,No Opinion,No,Biking,,,,DrivingTransitWalking,,,1,,,,,,,The redesign and improvements around Lake Merritt had spectacular results and there's bike lanes.,"The width of Telegraph is a double edged sword. It ""encourages"" speeding by cars. Narrowing the car lanes and/or putting a curbed bike lane could do wonders."
548,United States,Citrus Heights,CA,94609,94583,Yes,No/blank,No/blank,Yes,Yes,Daily,Driving,Biking,Walking,BART,,ACT,Other,1,6,4,2,3,,Food,Bike lanes,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,No,Biking,,,Transit,DrivingWalking,,4,1,,,,,,,,
549,United States,Santa Clara,CA,94610,94705,Yes,No/blank,No/blank,Yes,Yes,A few times per week,Driving,Walking,BART,ACT,Other,Biking,,1,4,3,6,2,5,Thriving local shops and wide roads for driving (enough room to maneuver around pedestrians and buses). Never hit a lot of red lights driving the speed limit.,Areas under the freeway are really dirty and seem dangerous. Need safer crosswalks for pedestrians in Temescal. Could use better areas for the buses to get out of traffic.,Disagree,Disagree,Strongly Agree,Agree,No,Walking,Driving,Transit,Biking,,2,3,4,1,Buses always blocking traffic around 51st St. Parking meters are old and in terrible repair.,,"Need designated lanes, there is room for it.",Poorly marked crosswalks around Pill Hill and MacArthur,"I would still like Telegraph to be good for driving, I use it for commuting some times. But there is too much speeding on the road.",,
550,United States,San Jose,CA,94609,94612,Yes,No/blank,Yes,Yes,Yes,Daily,Other,Biking,Driving,ACT,BART,Walking,,3,4,5,2,6,1,Closeness to my home.  Transportation   Stores And restaurants,More lights at night on both sides of the street,Strongly Disagree,Strongly Disagree,Agree,Agree,No,BikingWalking,,Transit,Driving,,4,3,1,1,,,,,,,
551,United States,Oakland,CA,94611,94612,No/blank,No/blank,Yes,Yes,Yes,A few times per week,Biking,Driving,ACT,Walking,,,BARTOther,2,3,,1,4,,"Fairly safe for bicyclists, which encourages me to shop at stores along Telegraph and neighboring streets.","Dedicated bike lanes (vs lanes that start and then stop, and then start again).  Also, street surface is rough in some places, making it dangerous for cyclists.",Agree,Disagree,Strongly Agree,No Opinion,No,Biking,TransitWalking,Driving,,,3,2,1,2,Adding a middle turn lane would give more space for bike lanes.,,"fewer lanes of motor traffic will make it easier for cyclists, especially to merge w/traffic for a left turn.",,,"Grand Ave (Oakland), where bike lanes are present (from Bellevue (?) to Harrison).",
552,United States,Emeryville,CA,94609,94612,Yes,No/blank,Yes,Yes,Yes,Daily,Driving,,Walking,ACT,BART,Biking,Other,1,4,5,6,3,,direct route,"i wish there were bike lanes and lower traffic speeds, and that there were more businesses (including a medium size super market)",Agree,Disagree,Agree,Agree,No,Driving,Walking,Transit,Biking,,1,3,4,2,,,,,,,
553,United States,Oakland,CA,94609,946117,Yes,No/blank,No/blank,No/blank,No/blank,Daily,Walking,Driving,BART,,,,ACTBikingOther,2,,3,,1,,Diverse group of shops and people,"Garbage, drunk street gatherings,property and vehicle theft",Strongly Disagree,Disagree,Strongly Agree,Disagree,No,Walking,Transit,Biking,Driving,,4,2,3,1,,United States,,"safety, lighting,new safe sidewalks,safe crosswalks","Please include green space, lighting, and walkways",Lake Merritt remodel and landscaping. 4th street Berkeley. Walkable and ridable neighborhood feel.,
554,United States,Denver,CO,94704,94105,Yes,No/blank,No/blank,Yes,Yes,A few times per week,Biking,BARTWalking,,,ACTOther,Driving,,6,5,2,1,2,5,I appreciate the bike lane. I like the variety of locally owned restaurants and small businesses.,"I wish there was more and better public transportation, and better, safe bike lanes and bike parking. I would like to see a separate lane in both directions, not just a bike-marked street. I would also like to see more green areas and parks, and less empty lots. Bikes and buses should not be in competition for travel space.",Disagree,Disagree,Agree,No Opinion,No,Biking,Transit,Walking,Driving,,4,2,1,3,More transit and other programs to discourage drivers.,United States,The bicycle lane stops being it's own lane near the freeway.,"Wider sidewalks, more pedestrian friendly/only areas. Greener, more utilized areas = safer areas = more pedestrian friendly.","While I would like to see the needs of all users of Telegraph accounted for, I think to make Berkeley and Oakland more sustainable the plan should discourage personal vehicle use by making it very convenient to use other modes of transportation, as well as having significant speed limits. Perhaps it would be better to eliminate cars from the area all together and make some or all of the area a pedestrian/cyclist zone, or just transit, pedestrians and cyclists.  Safety is definitely paramount, but providing services in the neighborhood (improving without gentrifying) will make it safer for all parties as well.","I would like to see the street more like Copenhagen, which is a very bike-friendly city, with lots of bike paths and bike-only areas. This encourages more cyclists and less drivers by making it practical, safe and fun to cycle more. I kind of like the feel of Hayes Valley in San Francisco, where cars don't feel as welcome as people, it feels neighborhoody, there are lots of parks and inviting places for people to walk. It's also kind of gentrified. I wish I had a solution for you on that one.",Thank you so much for working on this project and caring about my comments! I appreciate being part of the thought process behind my neighborhood's revitalization.
555,United States,Emeryville,CA,94609,94107,Yes,No/blank,No/blank,Yes,No/blank,A few times per month,,,,,,Biking,DrivingACTBARTWalkingOther,,,,6,,,Direct route from my home to many amenities.,More bicycle friendly.,Disagree,Disagree,Agree,No Opinion,No,Driving,,TransitWalking,Biking,,1,3,4,3,,United States,,,Sounds good!,"Would love to see widened sidewalks and comfortable, clearly delineated bike lanes.",
556,United States,Oakland,CA,94609,,Yes,No/blank,No/blank,Yes,Yes,A few times per week,Biking,,ACTBART,,,,DrivingWalkingOther,,3,3,1,,,Width,Bike lanes! Longer crossing times on some lights.,Disagree,Disagree,Strongly Agree,No Opinion,No,Transit,Biking,Walking,Driving,,4,1,2,3,well timed lights and well paved streets,"Sheltered stops showing next buses, predictable service","Bicycle lanes, signs explaining that bikes may take entire lane","Long enough crossing times, safety, lighting so can be seen crossing","I like it. I would love for cars to be balanced along with other transit options, rather than top priority.","Germany had awesome pedestrian and cycle tracks. I hear Amsterdam is great. Ideally for me, the safety level would encourage elderly people to get out and walk or cycle. Then I'll know its safe for most!",I hope poorer and richer areas will get similar improvements and attention.
557,United States,Oakland,CA,94609,,Yes,No/blank,No/blank,Yes,No/blank,A few times per month,Walking,Biking,ACT,Driving,Other,BART,,4,3,6,2,1,5,,Bike lanes are inconsistent and scary to ride in.,Agree,Disagree,No Opinion,No Opinion,No,Transit,Biking,Walking,Driving,,4,1,2,3,,,,,,,
558,United States,Oakland,CA,94608,94609,Yes,No/blank,Yes,Yes,Yes,Daily,Driving,Walking,,,,,ACTBARTBikingOther,1,,,,2,,"Ease of access to my world - post office, bank, store, work, etc","I believe that Telegraph has become less safe to drive with the addition of bicycles. I do not bbelieve bicyclists should  not be allowed to drive on Telegraph Ave. Bicyclists should be directed to Shattuck or Webster.  As car drivers do, bicyclists do not obey the rules of the road and make flash decisions putting the motorist in danger.",Agree,Strongly Disagree,Strongly Disagree,Agree,No,Driving,Walking,Transit,Biking,,1,3,4,2,No bicyclist should be allowed.,include a shuttle along Telegraph that picks up people for BART dropouts. people alo,please remove or eliminate bicyclist from riding between 20th & 57th,Please improve crosswalks along Telegraph between 20th and Alcatraz.,The vision statement is very pro bicyclist. It needs to be written to support the mode of transportation use by the majority who live in the community and access the community.,"There are no streets in Oakland in which I would like Telegraph to resemble. In South Berkeley on MLK near Alcatraz, there is a pedestrian crosswalk signal that needs to be installed along Telegraph in its busiest locations.",It would be a great idea to explore supporting other modes of transportation on parallel streets.
559,United States,Oakland,CA,94611,94583,Yes,No/blank,No/blank,No/blank,No/blank,Daily,BARTBiking,Driving,Walking,ACT,,,Other,2,4,1,1,3,,Great restaurants and diversity of people,Safer and improved bike and bus access,Disagree,Strongly Disagree,Strongly Agree,Disagree,No,TransitBikingWalking,,,Driving,,4,1,1,1,,There should be better and frequent bus service from MacArthur to piedmont ave.,Help keep bicyclists safer by keeping their lanes further from car traffic.  Example can be to have on street parking separate car from bike lanes.,Too many places up and down telegraph where it's not safe to cross crosswalks due to multiple lanes.  One car will slow down but the car in the next lane may not notice because the first is blocking its view of the pedestrian.,This all of the above strategy seems egalitarian but it reads to me as 1 ped = 1 bike = 1 car = 1 bus.  However values need to placed on the number of people transported as a function of space.  Cars take the most space per person transported.  They should be the least priority compared to the other three.,"Copenhagen.  Clean, bike and pedestrian friendly. Easy to get around without a car.",
560,United States,Oakland,CA,94612,NA,Yes,No/blank,No/blank,Yes,No/blank,A few times per week,Driving,,Walking,BART,ACT,BikingOther,,1,5,4,6,3,6,"Diversity, vibrancy, food, entertainment",Less street crime,Disagree,Disagree,Agree,Agree,No,TransitWalking,DrivingBiking,,,,2,1,2,1,"Left turn arrows, repair street",Get rid of drug users at bus shelters,Separate the bike lanes from automobiles,"Lighting, police presence",,,
561,United States,Oakland,CA,94610,94703,No/blank,No/blank,No/blank,Yes,No/blank,A few times per month,Driving,Walking,,BART,ACT,Biking,Other,1,5,4,6,2,,The variety of stores and the kack of chain stores.,I wish that there weren't so many bottlenecks or traffic stoppages.,Strongly Agree,Agree,Strongly Disagree,No Opinion,No,,DrivingBiking,TransitWalking,,,2,3,2,3,huge bottlenecks at 51st. change lights.,busses need better pullouts so they don't block traffic,,too many places to cross impedes traffic,Alameda has nice wide strrets that more easily accommodate traffic. The blocks are longer so there are less crosswalks in the middle. It feels like Telegraph is trying to serve too many. Perhaps portions should be pedestrian only and other sections could streamline traffic.,,
562,United States,San Francisco,CA,94612,94612,No/blank,No/blank,No/blank,Yes,Yes,A few times per week,ACT,BikingWalking,,,,,DrivingBARTOther,,1,,2,2,,Lower traffic,Better bicycle conditions,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,No,Biking,Walking,Transit,Driving,,4,3,1,2,Better controlled intersections,"safer ,cleaner, better lit bus stops","wide continuous bike lane, better informed drivers","Better controlled intersections, better lighting",Please encourage more use of public transportation and alternatives to automobiles. We will have a healthier happier populace and environment if people are encouraged to use other methods of transportation than automobiles.,Upper Broadway has good binge lanes and good controlled intersections,"It's very wide for the amount of automobile traffic it has, especially between 40th and downtown."
563,United States,Oakland,CA,94609,94111,Yes,No/blank,No/blank,Yes,No/blank,Daily,BART,Driving,Walking,ACT,Other,Biking,,2,4,1,6,3,5,Density of businesses between 51 and 45.,Increased density of businesses between 45 and Northgate,Agree,Disagree,No Opinion,Agree,No,Walking,Transit,Biking,Driving,,4,2,3,1,,,,,One additional difficulty not listed is lack of delivery vehicle access to businesses between 45 and 51st street.   Would also like to see local business operational needs incorporated into the vision statement,,Thank you.
564,United States,New York,NY,94618,94618 & 94710,Yes,No/blank,No/blank,Yes,Yes,Daily,Driving,BARTWalking,,,,ACTBikingOther,,1,6,2,6,2,6,the restaurants and stores,"parking, safety at night",Agree,No Opinion,Agree,No Opinion,No,,DrivingTransitWalking,Biking,,,2,2,3,2,,,I do think bicyclists could travel on parallel streets which are safer,not enough safe crossings above 51st toward Berk; crosswalks with yellow flashing lights would be good,,,
565,United States,Oakland,CA,94609,94801,Yes,No/blank,No/blank,Yes,No/blank,Daily,Walking,BART,Biking,ACT,Other,Driving,,6,4,2,3,1,5,The shops and businesses.  The 1R.,"I wish there were bike lanes, fewer empty store fronts, fewer fast-food places, and better crosswalks.",,Disagree,Agree,,No,Biking,Walking,Transit,Driving,,4,3,1,2,,more bus shelters with arrival predictions,"bike lanes, making  turns (Tele & 40th is hard!)","lighting, crosswalks",,,
566,United States,Oakland,CA,94609,94104,Yes,No/blank,No/blank,Yes,No/blank,A few times per week,DrivingBARTWalking,,,,,,ACTBikingOther,1,,1,,1,,"wide street with quick access to downtown, berkeley  wide sidewalks (vs piedmont ave)","less graffiti, better stores/businesses,  more tree-lined, better lighting like temescal bid did",Agree,Disagree,Agree,Agree,No,Walking,DrivingTransit,,Biking,,2,2,4,1,availability of parking on 40th thru 51st,,"alternative routes to tele esp thru temescal 40th-51st which I know shafter is but still always cyclists on this part and if fills tight/more dangerous-dont think a green lane on tele would work as well as it does on 49th due to much more traffic, more people getting in and out of cars more often",,,"any tree-lined, well-lit street with a good mix of stores and businesses that promote foot traffic, good transit",
567,United States,El Cerrito,CA,94611,,Yes,No/blank,No/blank,Yes,Yes,Daily,ACT,Biking,,BART,,,DrivingWalkingOther,,1,4,2,,,Fast trip from.Oakland to cal campus,,Agree,No Opinion,Agree,Agree,Yes,Transit,,,,DrivingBikingWalking,,1,,,,buses could be.more reliable... and the drivers should get a raise,,,,,
